/root/miniconda3/lib/python3.10/site-packages/timm/models/layers/__init__.py:49: FutureWarning: Importing from timm.models.layers is deprecated, please import via timm.layers
  warnings.warn(f"Importing from {__name__} is deprecated, please import via timm.layers", FutureWarning)
=> merge config from ../code/configs/swin_tiny_patch4_window7_224_lite.yaml
=> merge config from ../code/configs/vmamba_tiny.yaml
Namespace(root_path='../data/ACDC', exp='ACDC/VIM', model='mambaunet', num_classes=4, cfg='../code/configs/vmamba_tiny.yaml', opts=None, zip=False, cache_mode='part', resume=None, accumulation_steps=None, use_checkpoint=False, amp_opt_level='O1', tag=None, eval=False, throughput=False, max_iterations=10000, batch_size=24, deterministic=1, base_lr=0.01, patch_size=[224, 224], seed=1337, labeled_num=140)
---final upsample expand_first---
pretrained_path:../code/pretrained_ckpt/vmamba_tiny_e292.pth
---start load pretrained modle of swin encoder---
total 1312 samples
total 20 samples
55 iterations per epoch
  0%|                                         | 0/182 [00:00<?, ?it/s]iteration 1 : loss : 1.129584, loss_ce: 1.436075, loss_dice: 0.823094
iteration 68 : loss : 0.405662, loss_ce: 0.178888, loss_dice: 0.632437
iteration 69 : loss : 0.394516, loss_ce: 0.160754, loss_dice: 0.628279
iteration 70 : loss : 0.394723, loss_ce: 0.175361, loss_dice: 0.614084
iteration 71 : loss : 0.407686, loss_ce: 0.232435, loss_dice: 0.582937
iteration 72 : loss : 0.417837, loss_ce: 0.172980, loss_dice: 0.662693
iteration 73 : loss : 0.388893, loss_ce: 0.149093, loss_dice: 0.628694
iteration 74 : loss : 0.399607, loss_ce: 0.212855, loss_dice: 0.586359
iteration 75 : loss : 0.437289, loss_ce: 0.259698, loss_dice: 0.614881
iteration 76 : loss : 0.405527, loss_ce: 0.137344, loss_dice: 0.673711
iteration 77 : loss : 0.438623, loss_ce: 0.190660, loss_dice: 0.686585
iteration 78 : loss : 0.399729, loss_ce: 0.170437, loss_dice: 0.629022
iteration 79 : loss : 0.369556, loss_ce: 0.163410, loss_dice: 0.575702
iteration 80 : loss : 0.387938, loss_ce: 0.189444, loss_dice: 0.586432
iteration 81 : loss : 0.405885, loss_ce: 0.165234, loss_dice: 0.646536
iteration 82 : loss : 0.394880, loss_ce: 0.162077, loss_dice: 0.627683
iteration 83 : loss : 0.361955, loss_ce: 0.170162, loss_dice: 0.553747
iteration 84 : loss : 0.375963, loss_ce: 0.167496, loss_dice: 0.584430
iteration 85 : loss : 0.363838, loss_ce: 0.156367, loss_dice: 0.571308
iteration 86 : loss : 0.368172, loss_ce: 0.145622, loss_dice: 0.590721
iteration 87 : loss : 0.383860, loss_ce: 0.167944, loss_dice: 0.599777
iteration 88 : loss : 0.437692, loss_ce: 0.299488, loss_dice: 0.575895
iteration 89 : loss : 0.347277, loss_ce: 0.141656, loss_dice: 0.552897
iteration 90 : loss : 0.379649, loss_ce: 0.144222, loss_dice: 0.615076
iteration 91 : loss : 0.341704, loss_ce: 0.123989, loss_dice: 0.559420
iteration 92 : loss : 0.338807, loss_ce: 0.148101, loss_dice: 0.529512
iteration 93 : loss : 0.343578, loss_ce: 0.156902, loss_dice: 0.530254
iteration 94 : loss : 0.340693, loss_ce: 0.138193, loss_dice: 0.543194
iteration 95 : loss : 0.324611, loss_ce: 0.118460, loss_dice: 0.530761
iteration 96 : loss : 0.332819, loss_ce: 0.134351, loss_dice: 0.531288
iteration 97 : loss : 0.313936, loss_ce: 0.127712, loss_dice: 0.500161
iteration 98 : loss : 0.316330, loss_ce: 0.126275, loss_dice: 0.506385
iteration 99 : loss : 0.317503, loss_ce: 0.114731, loss_dice: 0.520276
iteration 100 : loss : 0.335074, loss_ce: 0.120656, loss_dice: 0.549493
iteration 101 : loss : 0.306108, loss_ce: 0.122323, loss_dice: 0.489894
iteration 102 : loss : 0.297316, loss_ce: 0.112288, loss_dice: 0.482343
iteration 103 : loss : 0.285969, loss_ce: 0.100549, loss_dice: 0.471389
iteration 104 : loss : 0.327321, loss_ce: 0.122649, loss_dice: 0.531993
iteration 105 : loss : 0.312717, loss_ce: 0.139718, loss_dice: 0.485717
iteration 106 : loss : 0.293647, loss_ce: 0.125242, loss_dice: 0.462051
iteration 107 : loss : 0.294370, loss_ce: 0.098989, loss_dice: 0.489751
iteration 108 : loss : 0.289385, loss_ce: 0.109261, loss_dice: 0.469509
iteration 109 : loss : 0.284509, loss_ce: 0.129856, loss_dice: 0.439162
iteration 110 : loss : 0.283298, loss_ce: 0.117522, loss_dice: 0.449073
  1%|▎                                | 2/182 [00:33<49:41, 16.56s/it]iteration 111 : loss : 0.288641, loss_ce: 0.101405, loss_dice: 0.475876
iteration 112 : loss : 0.289773, loss_ce: 0.107054, loss_dice: 0.472493
iteration 113 : loss : 0.272957, loss_ce: 0.103905, loss_dice: 0.442009
iteration 114 : loss : 0.286382, loss_ce: 0.119176, loss_dice: 0.453588
iteration 115 : loss : 0.271519, loss_ce: 0.110225, loss_dice: 0.432814
iteration 116 : loss : 0.263917, loss_ce: 0.091537, loss_dice: 0.436296
iteration 117 : loss : 0.273409, loss_ce: 0.094470, loss_dice: 0.452347
iteration 118 : loss : 0.278032, loss_ce: 0.097217, loss_dice: 0.458848
iteration 119 : loss : 0.276878, loss_ce: 0.105571, loss_dice: 0.448185
iteration 120 : loss : 0.267828, loss_ce: 0.106025, loss_dice: 0.429630
iteration 121 : loss : 0.280226, loss_ce: 0.118997, loss_dice: 0.441454
iteration 122 : loss : 0.256745, loss_ce: 0.084356, loss_dice: 0.429133
iteration 123 : loss : 0.253667, loss_ce: 0.080599, loss_dice: 0.426735
iteration 124 : loss : 0.263935, loss_ce: 0.089238, loss_dice: 0.438632
iteration 125 : loss : 0.260519, loss_ce: 0.089330, loss_dice: 0.431709
iteration 126 : loss : 0.291912, loss_ce: 0.139555, loss_dice: 0.444269
iteration 127 : loss : 0.270630, loss_ce: 0.103705, loss_dice: 0.437556
iteration 128 : loss : 0.254044, loss_ce: 0.077581, loss_dice: 0.430507
iteration 129 : loss : 0.268480, loss_ce: 0.074498, loss_dice: 0.462463
iteration 130 : loss : 0.275552, loss_ce: 0.098012, loss_dice: 0.453092
iteration 131 : loss : 0.258869, loss_ce: 0.105439, loss_dice: 0.412300
iteration 132 : loss : 0.262070, loss_ce: 0.104072, loss_dice: 0.420069
iteration 133 : loss : 0.239152, loss_ce: 0.076565, loss_dice: 0.401739
iteration 134 : loss : 0.247085, loss_ce: 0.077076, loss_dice: 0.417094
iteration 135 : loss : 0.244499, loss_ce: 0.064013, loss_dice: 0.424985
iteration 136 : loss : 0.244410, loss_ce: 0.074228, loss_dice: 0.414591
iteration 137 : loss : 0.255228, loss_ce: 0.096900, loss_dice: 0.413556
iteration 138 : loss : 0.250784, loss_ce: 0.095014, loss_dice: 0.406555
iteration 139 : loss : 0.243490, loss_ce: 0.088236, loss_dice: 0.398745
iteration 140 : loss : 0.236061, loss_ce: 0.078737, loss_dice: 0.393385
iteration 141 : loss : 0.243620, loss_ce: 0.085902, loss_dice: 0.401338
iteration 142 : loss : 0.242110, loss_ce: 0.090544, loss_dice: 0.393676
iteration 143 : loss : 0.239922, loss_ce: 0.082534, loss_dice: 0.397310
iteration 144 : loss : 0.256101, loss_ce: 0.092176, loss_dice: 0.420027
iteration 145 : loss : 0.238623, loss_ce: 0.079626, loss_dice: 0.397619
iteration 146 : loss : 0.233598, loss_ce: 0.076277, loss_dice: 0.390918
iteration 147 : loss : 0.231221, loss_ce: 0.084080, loss_dice: 0.378362
iteration 148 : loss : 0.237989, loss_ce: 0.091272, loss_dice: 0.384706
iteration 149 : loss : 0.218582, loss_ce: 0.069147, loss_dice: 0.368017
iteration 150 : loss : 0.230267, loss_ce: 0.076017, loss_dice: 0.384518
iteration 151 : loss : 0.222876, loss_ce: 0.074733, loss_dice: 0.371019
iteration 152 : loss : 0.224903, loss_ce: 0.081370, loss_dice: 0.368437
iteration 153 : loss : 0.225227, loss_ce: 0.082274, loss_dice: 0.368179
iteration 154 : loss : 0.207327, loss_ce: 0.068027, loss_dice: 0.346627
iteration 155 : loss : 0.225602, loss_ce: 0.079384, loss_dice: 0.371819
iteration 156 : loss : 0.236469, loss_ce: 0.085286, loss_dice: 0.387652
iteration 157 : loss : 0.229963, loss_ce: 0.086727, loss_dice: 0.373199
iteration 158 : loss : 0.226538, loss_ce: 0.083503, loss_dice: 0.369572
iteration 159 : loss : 0.224123, loss_ce: 0.078471, loss_dice: 0.369774
iteration 160 : loss : 0.216406, loss_ce: 0.080833, loss_dice: 0.351980
iteration 161 : loss : 0.213095, loss_ce: 0.071403, loss_dice: 0.354787
iteration 162 : loss : 0.205128, loss_ce: 0.073635, loss_dice: 0.336620
iteration 163 : loss : 0.207656, loss_ce: 0.073006, loss_dice: 0.342306
iteration 164 : loss : 0.203340, loss_ce: 0.066227, loss_dice: 0.340452
iteration 165 : loss : 0.215771, loss_ce: 0.080498, loss_dice: 0.351044
  2%|▌                                | 3/182 [00:49<49:02, 16.44s/it]iteration 166 : loss : 0.197825, loss_ce: 0.069437, loss_dice: 0.326213
iteration 167 : loss : 0.203713, loss_ce: 0.085090, loss_dice: 0.322335
iteration 168 : loss : 0.201114, loss_ce: 0.070457, loss_dice: 0.331770
iteration 169 : loss : 0.204172, loss_ce: 0.070655, loss_dice: 0.337690
iteration 170 : loss : 0.215647, loss_ce: 0.068894, loss_dice: 0.362399
iteration 171 : loss : 0.215714, loss_ce: 0.095640, loss_dice: 0.335788
iteration 172 : loss : 0.210286, loss_ce: 0.086880, loss_dice: 0.333693
iteration 173 : loss : 0.202172, loss_ce: 0.074193, loss_dice: 0.330151
iteration 174 : loss : 0.199411, loss_ce: 0.063720, loss_dice: 0.335101
iteration 175 : loss : 0.191313, loss_ce: 0.062007, loss_dice: 0.320619
iteration 176 : loss : 0.186478, loss_ce: 0.066142, loss_dice: 0.306815
iteration 177 : loss : 0.187934, loss_ce: 0.073389, loss_dice: 0.302479
iteration 178 : loss : 0.198114, loss_ce: 0.073368, loss_dice: 0.322859
iteration 179 : loss : 0.194954, loss_ce: 0.066617, loss_dice: 0.323290
iteration 180 : loss : 0.183918, loss_ce: 0.067267, loss_dice: 0.300569
iteration 181 : loss : 0.179579, loss_ce: 0.071254, loss_dice: 0.287905
iteration 182 : loss : 0.193858, loss_ce: 0.073895, loss_dice: 0.313820
iteration 183 : loss : 0.201846, loss_ce: 0.074906, loss_dice: 0.328786
iteration 184 : loss : 0.200479, loss_ce: 0.066768, loss_dice: 0.334191
iteration 185 : loss : 0.192096, loss_ce: 0.076413, loss_dice: 0.307780
iteration 186 : loss : 0.188929, loss_ce: 0.069733, loss_dice: 0.308126
iteration 187 : loss : 0.197533, loss_ce: 0.079476, loss_dice: 0.315590
iteration 188 : loss : 0.178951, loss_ce: 0.062432, loss_dice: 0.295469
iteration 189 : loss : 0.192192, loss_ce: 0.068093, loss_dice: 0.316291
iteration 190 : loss : 0.187234, loss_ce: 0.062101, loss_dice: 0.312367
iteration 191 : loss : 0.183928, loss_ce: 0.073685, loss_dice: 0.294171
iteration 192 : loss : 0.209104, loss_ce: 0.079467, loss_dice: 0.338740
iteration 193 : loss : 0.181860, loss_ce: 0.073532, loss_dice: 0.290189
iteration 194 : loss : 0.185134, loss_ce: 0.069360, loss_dice: 0.300908
iteration 195 : loss : 0.174817, loss_ce: 0.061830, loss_dice: 0.287804
iteration 196 : loss : 0.214209, loss_ce: 0.092326, loss_dice: 0.336092
iteration 197 : loss : 0.167700, loss_ce: 0.065147, loss_dice: 0.270254
iteration 198 : loss : 0.176157, loss_ce: 0.057714, loss_dice: 0.294601
iteration 199 : loss : 0.183765, loss_ce: 0.059805, loss_dice: 0.307724
iteration 200 : loss : 0.185532, loss_ce: 0.060188, loss_dice: 0.310875
iteration 200 : mean_dice : 0.474739 mean_hd95 : 21.573727
iteration 201 : loss : 0.196954, loss_ce: 0.084512, loss_dice: 0.309397
iteration 202 : loss : 0.164571, loss_ce: 0.061227, loss_dice: 0.267914
iteration 203 : loss : 0.187427, loss_ce: 0.063756, loss_dice: 0.311098
iteration 204 : loss : 0.176605, loss_ce: 0.065310, loss_dice: 0.287899
iteration 205 : loss : 0.168337, loss_ce: 0.074393, loss_dice: 0.262282
iteration 206 : loss : 0.173005, loss_ce: 0.065540, loss_dice: 0.280469
iteration 207 : loss : 0.188009, loss_ce: 0.060986, loss_dice: 0.315031
iteration 208 : loss : 0.176445, loss_ce: 0.064302, loss_dice: 0.288588
iteration 209 : loss : 0.177792, loss_ce: 0.077005, loss_dice: 0.278578
iteration 210 : loss : 0.156552, loss_ce: 0.061020, loss_dice: 0.252083
iteration 211 : loss : 0.168968, loss_ce: 0.058801, loss_dice: 0.279134
iteration 212 : loss : 0.202804, loss_ce: 0.082003, loss_dice: 0.323605
iteration 213 : loss : 0.180421, loss_ce: 0.064442, loss_dice: 0.296399
iteration 214 : loss : 0.216838, loss_ce: 0.103424, loss_dice: 0.330252
iteration 215 : loss : 0.178434, loss_ce: 0.063401, loss_dice: 0.293466
iteration 216 : loss : 0.245941, loss_ce: 0.088151, loss_dice: 0.403731
iteration 217 : loss : 0.221682, loss_ce: 0.076054, loss_dice: 0.367309
iteration 218 : loss : 0.271269, loss_ce: 0.143657, loss_dice: 0.398882
iteration 219 : loss : 0.232100, loss_ce: 0.122069, loss_dice: 0.342131
iteration 220 : loss : 0.167132, loss_ce: 0.062955, loss_dice: 0.271308
  2%|▋                                | 4/182 [01:13<57:55, 19.53s/it]iteration 221 : loss : 0.193451, loss_ce: 0.063329, loss_dice: 0.323574
iteration 222 : loss : 0.199605, loss_ce: 0.055552, loss_dice: 0.343658
iteration 223 : loss : 0.201718, loss_ce: 0.080660, loss_dice: 0.322776
iteration 224 : loss : 0.170323, loss_ce: 0.069989, loss_dice: 0.270657
iteration 225 : loss : 0.241717, loss_ce: 0.134445, loss_dice: 0.348989
iteration 226 : loss : 0.202269, loss_ce: 0.088891, loss_dice: 0.315647
iteration 227 : loss : 0.170226, loss_ce: 0.065608, loss_dice: 0.274843
iteration 228 : loss : 0.184403, loss_ce: 0.060714, loss_dice: 0.308092
iteration 229 : loss : 0.194585, loss_ce: 0.071962, loss_dice: 0.317207
iteration 230 : loss : 0.177968, loss_ce: 0.055741, loss_dice: 0.300194
iteration 231 : loss : 0.184344, loss_ce: 0.084096, loss_dice: 0.284593
iteration 232 : loss : 0.198599, loss_ce: 0.094048, loss_dice: 0.303150
iteration 233 : loss : 0.203155, loss_ce: 0.082842, loss_dice: 0.323468
iteration 234 : loss : 0.186394, loss_ce: 0.074458, loss_dice: 0.298330
iteration 235 : loss : 0.198775, loss_ce: 0.071041, loss_dice: 0.326510
iteration 236 : loss : 0.188803, loss_ce: 0.064696, loss_dice: 0.312909
